Date,Open,High,Low,Close,Volume,EMA20,EMA50,RSI,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Std,BB_Upper,BB_Lower,Wavelet_Smooth
2022-06-28,160.0,164.0,160.0,162.5,6150,164.37232244489903,167.80284609289077,16.960565659815543,164.11003969921342,164.75877024822645,-0.6487305490130382,0.03246018669562736,-0.6811907357086655,166.9375,15.505413952620037,197.94832790524006,135.92667209475994,163.1469964664311
2022-06-29,160.3,166.25,160.3,164.05,11087,164.34162506919435,167.65567565787546,17.522311373364985,164.10080282241134,164.70626874835784,-0.6054659259465041,-0.09512503583279892,-0.5103408901137051,168.425,13.507926522874163,195.44085304574833,141.4091469542517,162.7220141342756
2022-06-30,166.3,170.9,164.2,169.5,10243,164.83289887212823,167.72800210266468,19.582261603930093,164.93144854204036,165.06135995218318,-0.12991141014282448,-0.10208231069480404,-0.027829099448020436,169.76500000000001,12.074953416059158,193.91490683211833,145.6150931678817,165.8518374558304
2022-07-01,167.5,172.9,162.85,172.5,12622,165.56309897954458,167.9151392751092,20.755533393136304,166.09584107403415,165.61237032609554,0.4834707479386111,0.01502830103187898,0.46844244690673215,170.7925,11.330620773164274,193.45374154632853,148.13125845367145,170.29943462897523
2022-07-03,174.95,180.05,168.5,178.0,12589,166.74756574339747,168.31062400941863,22.974284725936585,167.92725013956735,166.52997252416256,1.3972776154047892,0.29147816390646103,1.1057994514983283,171.5875,11.24610897623092,194.07971795246183,149.09528204753818,174.67282685512367
2022-07-04,180.5,184.05,173.55,173.55,19683,167.39541662497868,168.5160897345395,22.4271481581993,168.79228857963392,167.04997455940978,1.7423140202241427,0.5816453351699974,1.1606686850541452,171.6,11.248251326083329,194.09650265216666,149.10349734783333,176.38526501766785
2022-07-05,171.1,180.0,168.75,169.5,15683,167.59585313688547,168.55467445083207,21.91559967996561,168.90116725969023,167.2314579253794,1.6697093343108236,0.7992581349981627,0.8704511993126609,170.795,10.759058606832745,192.31311721366546,149.2768827863345,172.96773851590106
2022-07-06,171.85,174.05,164.7,173.0,6930,168.11053379051543,168.7290009429563,23.538724753006804,169.53175691204558,167.65875733831425,1.8729995737313345,1.0140064227447971,0.8589931509865374,169.4875,8.479245171842202,186.4459903436844,152.52900965631562,170.5609187279152
2022-07-07,175.45,176.0,170.0,172.5,7220,168.52857819141872,168.87688325891878,23.46368858682446,169.9884096948078,168.01736790584653,1.971041788961287,1.205413495988095,0.7656282929731919,168.7625,7.4619363050786935,183.68637261015738,153.8386273898426,172.22512367491166
2022-07-08,170.5,170.5,166.5,166.5,4562,168.33538026842646,168.7836721507259,22.535326307028242,169.451731280222,167.90497028319123,1.5467609970307592,1.273682996196628,0.27307800083413114,168.3375,7.328852049838361,182.99520409967673,153.67979590032328,170.80459363957596
2022-07-11,164.2,166.5,159.5,159.5,7360,167.4939154809573,168.41960657618762,21.468123969413057,167.92069569864938,167.28237989184373,0.6383158068056503,1.1466095583184326,-0.5082937515127823,167.315,7.044484591358957,181.4039691827179,153.2260308172821,164.4678445229682
2022-07-12,158.85,165.95,158.05,165.75,3574,167.3278282922947,168.31491612221947,24.888365607013213,167.5867425142418,167.16887027022568,0.41787224401610956,1.0008620954579681,-0.5829898514418586,166.47750000000002,6.072835871840677,178.62317174368138,154.33182825631866,161.55636042402824
2022-07-13,163.5,173.0,162.5,172.45,6517,167.81565416921902,168.4770762742893,28.48414170553943,168.3349359735892,167.56006506502376,0.7748709085654468,0.955663858079464,-0.18079294951401714,166.51749999999998,6.111212193475475,178.73992438695095,154.29507561304902,166.97922261484098
2022-07-14,172.5,174.85,167.15,172.35,6125,168.24749662929338,168.62895563608186,28.462240682772077,168.95263813149856,167.91487506020718,1.03776307129138,0.9720837007218472,0.06567937056953266,166.9075,6.226836550051055,179.36117310010212,154.45382689989788,172.53583038869255
2022-07-15,169.95,170.5,165.5,169.85,5220,168.4001159979321,168.67683972878453,27.88500043213162,169.0906938035757,168.05821764834,1.0324761552357131,0.9841621916246205,0.048313963611092636,167.0875,6.258780674086197,179.6050613481724,154.5699386518276,172.1141696113074
2022-07-17,167.5,170.35,162.9,168.0,3582,168.36200971241476,168.6502969943224,27.44148218930347,168.92289475687173,168.05390522994446,0.8689895269272654,0.9611276586851496,-0.09213813175788421,167.375,6.156094541184296,179.6871890823686,155.0628109176314,169.3772438162544
2022-07-18,167.5,170.5,165.5,168.5,2688,168.37515164456573,168.64440299454503,27.775836029096013,168.85783402504532,168.0869492869856,0.7708847380597206,0.9230790745600639,-0.1521943365003433,168.075,5.359460400961348,178.7939208019227,157.35607919807728,168.06696113074202
2022-07-19,166.25,174.4,166.25,172.0,7432,168.72037529746424,168.77599503397465,30.200507491026798,169.34124417503833,168.37680489535703,0.9644392796813008,0.9313511155843113,0.03308816409698956,168.85,4.674482802801109,178.1989656056022,159.50103439439778,169.4924734982332
2022-07-20,169.65,176.85,168.3,173.0,10071,169.12795860246766,168.94164228754428,30.914142535491948,169.90412968657088,168.71926379199724,1.1848658945736474,0.9820540713821785,0.20281182319146895,169.25,4.669976896144714,178.58995379228944,159.91004620771056,172.15194346289752
2022-07-21,170.55,172.5,168.15,171.5,2985,169.35386730699454,169.04197004097392,30.41186597218696,170.1496481963292,168.92524425184928,1.224403944479917,1.0305240460017262,0.19387989847819087,169.725,4.367056698799024,178.45911339759803,160.99088660240196,172.7399293286219
2022-07-22,169.1,172.0,166.75,169.5,2640,169.3677847063284,169.05993200015143,29.718541358001772,170.04970231997083,168.9678187517123,1.0818835682585473,1.0407959504530904,0.04108761780545689,170.075,4.024611782520037,178.12422356504007,162.0257764349599,171.00918727915194
2022-07-24,171.5,180.55,165.5,180.0,12895,170.38037663905902,169.4889542746553,37.74316341151444,171.58051734766764,169.78501736269658,1.795499984971059,1.1917367573566842,0.6037632276143747,170.8725,4.336123511301576,179.54474702260316,162.20025297739684,173.0816254416961
2022-07-25,180.0,193.0,180.0,193.0,36630,172.53462648295817,170.41095606780607,45.9687614036729,174.87582237110337,171.50464570620053,3.3711766649028334,1.6276247388659142,1.7435519260369192,172.04749999999999,6.558912678662141,185.16532535732426,158.9296746426757,183.55017667844524
2022-07-26,195.5,203.0,185.55,197.5,21245,174.9122811036288,171.4732715161274,48.50505137868608,178.35646508324132,173.43022750574121,4.926237577500103,2.287347306592752,2.638890270907351,173.29749999999999,8.686778747038469,190.67105749407693,155.92394250592304,194.62049469964663
2022-07-27,194.55,208.6,190.05,206.0,29128,177.87301623661654,172.82726086843616,52.993563536668475,182.6093166088965,175.8428032460567,6.766513362839817,3.183180517842165,3.583332844997652,174.6975,11.336671689697964,197.37084337939592,152.02415662060406,201.28445229681978
2022-07-28,206.5,208.2,195.55,200.0,33095,179.98034802360542,173.89285848143865,49.70039025186668,185.28480636137397,177.63222522783028,7.652581133543691,4.07706064098247,3.575520492561221,176.01999999999998,12.661175633449364,201.3423512668987,150.69764873310126,203.79151943462898
2022-07-29,197.0,203.5,195.05,197.55,8061,181.65364821183348,174.82058952138223,48.378357851046445,187.1717592288549,179.1076159516947,8.064143277160213,4.874477168218019,3.189666108942194,177.42249999999999,13.431095842347156,204.2846916846943,150.56030831530566,200.34144876325087
2022-07-31,194.6,206.5,194.6,202.5,18976,183.63901504880172,175.90605659897508,51.20260523006771,189.5299501167234,180.84038514045807,8.68956497626533,5.637494729827481,3.0520702464378493,178.89749999999998,14.497372493335664,207.8922449866713,149.90275501332866,198.8571378091873
2022-08-01,205.5,205.5,197.5,199.5,20919,185.14958504415395,176.83130928136822,49.437274122137254,191.0638039449198,182.22257883375747,8.841225111162345,6.278240806094454,2.562984305067891,180.2475,15.114279367190251,210.4760587343805,150.0189412656195,200.92028268551235
2022-08-02,196.55,200.0,194.55,199.9,15095,186.55438646852025,177.7359638193538,49.68635667154694,192.42321872262445,183.5320174386643,8.891201283960157,6.800832901667595,2.0903683822925627,181.9175,15.358584732975864,212.63466946595173,151.20033053404825,200.28922261484098
2022-08-03,199.9,214.85,199.9,214.85,39216,189.24920680485164,179.19141621859484,58.01177754008525,195.8734927652976,185.85186799876323,10.021624766534387,7.4449912746409534,2.5766334918934337,184.685,16.076561068508184,216.83812213701637,152.53187786298363,204.70272084805652
2022-08-04,218.1,231.3,218.1,231.3,49371,193.25404425200864,181.23489009237542,64.89509269264559,201.32372464755952,189.21839629515114,12.105328352408378,8.377058690194438,3.7282696622139397,187.9625,18.510657492090154,224.9838149841803,150.9411850158197,219.4978445229682
2022-08-05,234.9,248.5,231.3,236.0,42222,197.32508765657926,183.38254146130188,66.58080252621278,206.65853624024265,192.68370027328808,13.974835966954572,9.496614145546467,4.4782218214081055,191.14000000000001,20.995335321522198,233.13067064304443,149.1493293569556,233.16282685512365
2022-08-07,232.5,240.0,223.5,233.5,38350,200.7703174035717,185.34793199223122,64.79839873327828,210.78799220328224,195.70712988267417,15.080862320608077,10.613463780558789,4.467398540049288,194.1975,22.512706792059966,239.2229135841199,149.17208641588007,236.330777385159
2022-08-08,230.0,236.5,230.0,230.6,31650,203.61123955561249,187.12252289449665,62.701498982117954,213.83599340277726,198.29178692840202,15.544206474375244,11.59961231932208,3.9445941550531636,197.235,23.144205254061003,243.52341050812203,150.946589491878,233.10643109540638
2022-08-09,231.0,234.0,220.0,221.05,18559,205.2720738836494,188.4530121927517,56.24646298280126,214.94584057158076,199.97758048926113,14.968260082319631,12.273341871921591,2.69491821039804,199.8875,22.652041124482867,245.19158224896572,154.58341775103426,227.30696113074202
2022-08-10,220.0,225.0,215.05,220.0,13782,206.67473351377805,189.69014896950654,55.56909497693959,215.72340356056833,201.46072267524178,14.262680885326546,12.671209674602583,1.591471210723963,202.4625,21.807663277654918,246.07782655530985,158.84717344469016,221.0683745583039
2022-08-11,217.5,223.4,217.0,217.05,11647,207.66285413151348,190.7630843040357,53.615488311206185,215.9274953204809,202.6154839585572,13.31201136192368,12.799370012066802,0.512641349856878,204.715,20.7988682637453,246.3127365274906,163.1172634725094,218.19289752650172
2022-08-14,213.75,220.35,211.7,215.0,8260,208.3616299285122,191.71355158623038,52.24102848155727,215.78480373271458,203.5328555171826,12.251948215531968,12.689885652759838,-0.4379374372278697,206.815,19.508440143745606,245.8318802874912,167.7981197125088,216.45257950530035
2022-08-15,211.7,222.7,208.6,222.5,10960,209.70814136389197,192.92086328873114,56.62230205271769,216.8179108507585,204.93782918257648,11.880081668182015,12.527924855844274,-0.647843187662259,209.365,17.917685323959144,245.2003706479183,173.5296293520817,217.42876325088338
2022-08-16,222.5,225.85,211.05,215.1,22557,210.22165171018798,193.79063335583973,51.59317296287781,216.5536168737187,205.69058257645972,10.863034297258992,12.194946744127218,-1.3319124468682269,211.64500000000004,15.28592317684545,242.21684635369093,181.07315364630915,219.2836395759717
2022-08-17,212.55,218.4,212.55,217.0,13437,210.86720869017006,194.70080459678718,52.753502752518926,216.6222912008389,206.52831720042568,10.093974000413226,11.774752195384421,-1.6807781949711948,213.49500000000003,13.37387378436031,240.24274756872066,186.7472524312794,216.92911660777384
2022-08-18,217.3,232.0,213.6,231.0,35571,212.78461738634434,196.1243024557367,60.30407503992712,218.83424640070984,208.34103444483858,10.49321195587126,11.51844414748179,-1.0252321916105291,215.39500000000004,13.003095785235148,241.40119157047033,189.38880842952975,220.9766077738516
2022-08-21,227.45,234.6,220.55,224.5,22050,213.9003681114544,197.23707490845294,55.84195859131898,219.70590080060063,209.537994856332,10.167905944268625,11.248336506839157,-1.0804305625705322,216.74500000000003,12.436680679175998,241.61836135835202,191.87163864164805,228.01455830388687
2022-08-22,224.45,224.45,218.6,222.0,9742,214.67176162464924,198.20817001008226,54.18139408806056,220.05883913896977,210.4611063484556,9.597732790514186,10.918215763574164,-1.3204829730599776,217.54500000000002,12.221873187467068,241.98874637493415,193.10125362506588,225.35936395759714
2022-08-23,219.15,222.0,217.5,220.95,7390,215.26968908896836,199.1000064802751,53.46231470093048,220.1959408098975,211.23806143375518,8.95787937614233,10.526148486087797,-1.5682691099454669,218.59250000000003,11.516421627626498,241.62534325525303,195.55965674474703,221.21685512367492
2022-08-24,218.5,224.35,217.55,222.0,6490,215.91067108049518,199.99804544183297,54.11808669841853,220.47348837760558,212.03524206829184,8.43824630931374,10.108568050732986,-1.6703217414192455,219.815,10.409675408256664,240.63435081651332,198.99564918348668,221.15098939929328
2022-08-25,225.0,225.0,214.0,219.0,10985,216.2048928823528,200.74322013038855,51.86916673603088,220.24679785797395,212.5511500632332,7.695647794740751,9.62598399953454,-1.9303362047937895,220.64000000000001,9.586470729764528,239.81294145952907,201.46705854047096,220.80975265017668
2022-08-26,216.0,217.5,210.0,217.0,13639,216.28061736974774,201.380740909589,50.366486260092145,219.74729049520872,212.8806945029937,6.866595992215025,9.074106398070638,-2.207510405855613,221.51500000000001,8.262615553774376,238.04023110754878,204.98976889245125,218.6144522968198
