Date,Open,High,Low,Close,Volume
2026-06-10,299.7,344.6,299.7,344.6,110
2026-06-11,331.7,396.2,331.7,396.2,100
2026-06-12,413.0,455.6,413.0,455.6,100
2026-06-15,469.2,523.9,469.2,523.9,210
2026-06-16,550.0,602.4,550.0,602.4,260
2026-06-17,620.4,692.7,620.4,692.7,250
