Date,Open,High,Low,Close,Volume
2026-06-08,276.5,304.1,276.5,304.1,390
2026-06-09,306.8,349.7,306.8,349.7,200
2026-06-10,351.5,402.1,351.5,402.1,340
2026-06-11,422.2,462.4,422.2,462.4,300
2026-06-12,471.3,531.7,471.3,531.7,380
2026-06-15,550.0,611.4,550.0,611.4,610
2026-06-16,629.5,703.1,629.5,703.1,780
2026-06-17,724.1,808.5,724.1,808.5,860
